,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,apin,decane,toluene,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
0,224.016831836,23,6,9,0,4,485.0,40.0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0
1,310.064844648,35,9,10,2,1,236.0,40.0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0
2,368.0339384439999,37,10,13,2,1,308.0,40.0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0
3,299.012474728,29,7,12,1,4,769.0,3.0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0
4,202.011352532,20,7,7,0,1,77.0,32.0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0
5,238.0324819,26,7,9,0,3,483.0,40.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0
6,241.965858884,18,3,11,2,1,41.0,17.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
7,303.007389348,29,6,13,1,5,238.0,29.0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,0
8,284.996824664,26,6,12,1,3,487.0,40.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0
9,310.97608921999995,26,7,13,1,2,378.0,40.0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,0
10,343.96116742799995,27,6,15,2,1,23.0,16.0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0
11,281.00191004400006,26,7,11,1,2,211.0,40.0,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,2,0,0
12,284.049194584,31,7,10,2,2,517.0,40.0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0
13,263.10050188400004,35,10,7,1,1,201.0,40.0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
14,223.032816248,24,6,8,1,2,69.0,37.0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0
15,267.022645488,27,7,10,1,4,439.0,24.0,0,0,1,0,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0
16,253.006995424,24,6,10,1,2,501.0,40.0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
17,218.006267152,21,7,8,0,2,19.0,4.0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0
18,242.02739652,26,6,10,0,4,983.0,40.0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0
19,208.021917216,22,6,8,0,3,184.0,10.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0
20,294.98117460000003,25,7,12,1,1,136.0,40.0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,1,0,1,0
21,331.9611674279999,26,5,15,2,1,214.0,40.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0
22,254.02739652,27,7,10,0,5,272.0,4.0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0
23,302.02337376,30,6,12,2,2,361.0,40.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
24,296.99682466400003,27,7,12,1,4,304.0,22.0,0,0,1,0,0,2,2,0,0,0,1,0,1,0,0,0,1,1,0
25,283.01756010800005,28,7,11,1,2,550.0,40.0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0
26,280.079432092,35,10,9,0,3,882.0,40.0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0
27,313.986988252,27,6,13,2,2,117.0,26.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
28,329.9819028719999,28,6,14,2,2,314.0,40.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0
29,309.06959568,36,10,10,1,2,344.0,4.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
30,338.05975926799994,37,10,11,2,1,388.0,40.0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0
31,238.99134536,21,5,10,1,3,183.0,12.0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0
32,291.059030996,33,10,9,1,1,301.0,40.0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0
33,265.006995424,25,7,10,1,1,39.0,28.0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
34,283.017560108,28,7,11,1,3,133.0,15.0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
35,226.0324819,25,6,9,0,4,489.0,17.0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0
36,150.016437912,16,4,6,0,3,56.0,1.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
37,225.996096392,21,5,10,0,4,294.0,8.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
38,178.01135253200002,18,5,7,0,3,228.0,25.0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0
39,357.97681749199995,30,7,15,2,2,257.0,40.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0
40,343.9975529359999,31,7,14,2,4,120.0,1.0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0
41,265.006995424,25,7,10,1,2,289.0,4.0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0
42,283.017560108,28,7,11,1,4,513.0,33.0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0
43,220.980780676,18,5,9,1,1,27.0,14.0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0
44,277.07976644,34,10,8,1,1,161.0,40.0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0
45,298.97608922,25,6,13,1,3,164.0,26.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
46,299.048860236,33,8,11,1,3,682.0,22.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0
47,324.044109204,34,9,11,2,1,253.0,40.0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0
48,239.027730868,25,6,9,1,3,601.0,40.0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
49,186.016437912,19,7,6,0,1,64.0,38.0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0
50,192.027002596,21,6,7,0,3,114.0,17.0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
51,253.006995424,24,6,10,1,2,244.0,40.0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0
52,287.01247472800003,28,6,12,1,4,620.0,40.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0
53,328.00263831599995,30,7,13,2,4,433.0,1.0,0,0,1,0,0,3,1,0,1,0,0,1,1,0,0,1,0,0,0
54,279.095416504,36,10,8,1,2,420.0,40.0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
55,252.01174645600005,25,7,10,0,5,65.0,2.0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,0
56,324.080494712,38,10,10,2,1,316.0,40.0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0
57,327.966252808,26,6,14,2,2,264.0,40.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0
58,180.027002596,20,5,7,0,3,340.0,22.0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0
59,287.012474728,28,6,12,1,4,443.0,23.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0
60,356.033938444,36,9,13,2,2,549.0,40.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
61,238.068867408,30,8,8,0,4,901.0,16.0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0
62,267.981508948,22,5,11,2,1,92.0,40.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
63,278.98625998000006,24,7,11,1,1,306.0,40.0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0
64,266.98625998,23,6,11,1,3,205.0,18.0,0,0,1,0,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0
65,220.980780676,18,5,9,1,1,47.0,20.0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0
66,285.03321017200005,30,7,11,1,4,69.0,19.0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0
67,262.99134536,23,7,10,1,1,65.0,38.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
68,251.027730868,26,7,9,1,3,325.0,40.0,0,0,1,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0
69,255.022645488,26,6,10,1,3,243.0,16.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
70,250.99134536,22,6,10,1,2,121.0,40.0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0
71,266.98625998000006,23,6,11,1,2,352.0,40.0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0
